2010 TO 2020
-------#####------->    calsch
calsch-archive@ietf.org 713
calsch-archive@megatron.ietf.org 370
calsch-archive@lists.ietf.org 333
delivers@amazon.com 56
digital-no-reply@amazon.com 23
beep-archive@lists.ietf.org 22
bliss@ietf.org 15
capwap-archive@lists.ietf.org 15
info@stock-off.com 15
capwap-archive@megatron.ietf.org 14
capwap-archive@ietf.org 13
cfrg-bounces@ietf.org 13
aaa-archive@lists.ietf.org 11
cfrg@ietf.org 11
itadmin@upowergen.com 11
aaa-archive@ietf.org 10
atompub-archive@megatron.ietf.org 10
agentx-bounces@ietf.org 9
calendar@ietf.org 9
ediint-archive@ietf.org 9
order-update@amazon.com 7
admin@viagra.com 6
cdi-archive@ietf.org 6
enum-request@ietf.org 6
softwires-bounces@ietf.org 6
bliss-bounces@ietf.org 5
bridge-mib-bounces@ietf.org 5
bridge-mib-request@ietf.org 5
ccamp-owner@ietf.org 5
hr@szhnd.com 5
account-update-noreply@google.com 4
btns@ietf.org 4
comercial@francisco-oliveira.com 4
favour_william11@att.net 4
noreply@extraadv.com 4
AppStore@apple.com 3
action@ietf.org 3
cfrg-owner@ietf.org 3
cga-ext-owner@ietf.org 3
crisp-bounces@ietf.org 3
dnsop-archive@ietf.org 3
eapext-bounces@ietf.org 3
enum-archive@ietf.org 3
eve@ksfrith.com 3
forces-protocol@ietf.org 3
frelott2@shqiptar.eu 3
info@servers.org 3
marketing@wcapitalgroup.ae 3
no-reply@irs.gov 3
noreply@freemason.org 3
